Predicted1,Real1,Predicted7,Real7
179.83778015566364,147.0,160.58822995637905,272.0
182.10302008491112,162.0,175.80794512309157,143.0
171.05929242260277,199.0,181.414893015968,133.0
175.38665258563944,137.0,192.05533711015778,104.0
137.3606398430811,166.0,156.65388473830865,238.0
143.88154560053917,206.0,150.66215666571205,98.0
188.58442744443983,272.0,156.33172698040437,74.0
229.9957269334454,143.0,184.53284813391198,106.0
177.04627895425384,133.0,158.13188578599855,262.5
163.29487625050555,104.0,146.99479447656003,362.0
128.33037972007523,238.0,139.80978720817993,118.0
185.97967268880475,98.0,189.8173302176341,104.0
139.0427322314993,74.0,154.18950770264163,207.0
128.8365528669273,106.0,148.2817117454666,91.0
117.73442207760684,262.5,159.40267707623357,117.0
188.36819606699746,362.0,194.3922313226445,141.0
252.57351362981544,118.0,241.9868647721971,121.0
161.16237565047336,104.0,154.70814193004176,114.0
125.04637779067012,207.0,126.08814916650807,103.0
180.8843032037204,91.0,142.04832810130657,132.5
156.14673077641092,117.0,127.55730282887502,126.5
169.40191977782283,141.0,143.6051346042594,133.0
186.3129760308399,121.0,184.96578138140612,138.0
112.4160785610527,114.0,171.15097329987782,125.0
112.75431103982169,103.0,173.76305354833968,107.0
108.48251752767426,132.5,134.88794034374823,85.0
106.31411329479549,126.5,140.62083580689068,125.0
144.14333480413117,133.0,127.37649001820931,158.5
179.67308061048809,138.0,120.10530542847567,156.0
164.8290063753934,125.0,152.59061360663944,106.0
122.92289896217983,107.0,127.39974419077537,120.0
116.91574480642316,85.0,104.38089366423681,104.0
118.4795595115271,125.0,115.47190032087546,74.0
119.93961448470452,158.5,118.46502784524965,93.0
143.48816593719877,156.0,136.85117808048693,109.0
144.5724152259154,106.0,143.50045757854193,137.0
111.33936320568955,120.0,123.47358991500833,116.0
110.03553373709512,104.0,118.85114275348417,132.0
105.72157495324659,74.0,106.60444780784228,89.0
107.41879697259355,93.0,99.82997915712441,65.0
121.26143884922271,109.0,111.07538827329199,119.0
123.49810117229647,137.0,124.62693710648456,128.0
122.40993932140026,116.0,136.98117346356082,118.0
110.5786132086475,132.0,124.96464286744798,104.5
110.30950775036884,89.0,121.21782561016649,104.0
91.29992585881409,65.0,98.01016022075235,78.0
96.43681133226396,119.0,82.25870776278407,69.0
129.7970713085078,128.0,103.30358529353846,107.0
135.65307144446817,118.0,121.68767077867089,98.0
116.99095376062654,104.5,119.31375822810948,103.0
107.49449212777161,104.0,114.87275801080808,114.0
91.97496336652455,78.0,108.97917170844129,121.5
77.07666540123904,69.0,91.66707599939376,108.0
93.38780135119521,107.0,85.72232054245531,94.0
116.19109971943794,98.0,102.10189242794337,178.0
111.68413152099401,103.0,112.67494042325922,189.0
104.4404278046599,114.0,108.39562481418575,155.5
104.5924468076397,121.5,111.87257046293662,151.0
97.30739192403325,108.0,108.54283415711228,129.5
96.37710382188561,94.0,94.11140502441135,119.0
108.89573550747282,178.0,90.20605939187969,88.0
145.3330907761796,189.0,121.73268461962391,67.0
153.38291279067747,155.5,136.5779292017886,77.0
136.4652904183118,151.0,126.34866421912675,92.0
129.20770971650293,129.5,125.62158747759764,100.0
113.52553293760356,119.0,117.0335143373356,125.0
111.9142635667461,88.0,111.56170159925126,120.0
121.32244062092116,67.0,113.32938725089268,101.0
106.3511096921132,77.0,116.02283662248777,126.0
97.85538532758034,92.0,127.16830865451179,128.0
102.49073423197042,100.0,130.793792673703,130.0
99.04725392552886,125.0,130.1208097551549,126.0
108.0026866649547,120.0,132.6752937618215,127.0
110.18080630304426,101.0,113.31860222161693,115.0
113.94820630744634,126.0,100.98039193610538,111.0
130.58961195135117,128.0,103.82197698942838,131.0
133.07650469307322,130.0,102.43597568387518,156.0
133.73473933258484,126.0,109.50319484993969,139.0
129.89277134708038,127.0,112.20862636767708,177.0
119.90648471864525,115.0,117.14734500226344,197.0
103.24736668610093,111.0,115.26867392325852,91.0
104.43326402922008,131.0,111.21414669065352,73.0
117.35724157959145,156.0,120.52495020217823,69.0
133.23491974986607,139.0,135.21705860382488,106.0
129.23831089555893,177.0,131.01171225677567,122.0
146.70800072547902,197.0,142.93273987857472,124.0
155.4422621186959,91.0,152.05919626441312,122.5
108.78321610114794,73.0,112.69204208754418,109.0
105.53831592506454,69.0,101.68576730537738,84.0
109.08783767050745,106.0,104.04925653367502,133.0
121.17239287708293,122.0,126.09466930201863,137.0
134.57733138842778,124.0,143.2383347356588,99.0
128.79450415828856,122.5,147.03063748097733,99.0
99.64601005661275,109.0,140.2402898206296,113.0
95.2332900296701,84.0,115.46983117011207,96.0
97.51072878394774,133.0,90.59114635109368,69.0
135.33672362392545,137.0,108.1226551905612,93.0
149.1223289446784,99.0,115.37068072099959,114.5
131.3537328929058,99.0,108.39708453912624,116.0
117.10016936011596,113.0,117.85117328134122,112.0
99.03268403897685,96.0,111.76494087161011,111.5
88.30443747272471,69.0,106.16513548693621,87.0
90.26052249880759,93.0,93.38989793577844,75.0
106.2223928207374,114.5,104.14561887084635,98.0
109.84498538280917,116.0,116.37619615714156,141.0
111.9198086400093,112.0,114.98220970938553,141.0
109.75514814526247,111.5,109.9022492653492,119.0
102.58116798391006,87.0,108.10757276582945,107.0
90.24310055070426,75.0,89.745306149961,96.0
98.39008062970466,98.0,84.32415350936316,82.0
110.70447524365927,141.0,97.94362764731095,108.0
124.5101398704212,141.0,117.34772315761221,76.0
124.60532998020155,119.0,122.53396702951436,162.0
110.20420386533158,107.0,115.1167964395213,163.0
93.86189581427566,96.0,105.7491546755204,143.0
88.72159194684053,82.0,92.46569240139156,105.0
98.12440673695812,108.0,88.2417896046519,95.0
121.64383873003909,76.0,105.05860506577342,86.0
104.1314783406804,162.0,106.2261243835992,162.0
129.52850753643406,163.0,134.18474986569802,179.0
128.6034356845698,143.0,139.2997800230979,107.0
111.60968453545804,105.0,124.21090763481045,111.0
97.73308540419642,95.0,103.1428394516056,78.0
106.77515177220567,86.0,89.75228774637189,68.0
108.70529117722401,162.0,94.43913110779435,96.0
156.79803359529384,179.0,128.97622306642265,128.0
160.830913695222,107.0,151.37707082232978,161.0
110.02754840628315,111.0,133.3209673666034,158.0
97.22793321316904,78.0,122.94077250874057,135.0
81.41918622279871,68.0,97.27315849121976,89.0
