Predicted1,Real1,Predicted7,Real7
10.941309991641148,3.0,9.91772238652103,13.5
10.205525605029818,9.0,8.0509983084337,7.0
8.62440730650044,6.0,7.656166347134846,6.5
7.397041452440707,16.0,8.279004495566857,4.0
9.641204284661171,10.0,9.182105214602636,6.0
9.456892697868575,6.0,9.297198280207233,8.0
8.880883492561349,13.5,8.566540351999281,13.0
8.831202189243093,7.0,9.328083913381667,10.5
8.496666862727112,6.5,9.632247758284448,15.0
9.166368948149623,4.0,9.273194190496255,11.0
8.462257281626066,6.0,8.209974652827961,6.0
8.454129351691924,8.0,8.149526978987709,6.0
7.3175110938051615,13.0,6.704455016519598,12.0
7.803191542192529,10.5,8.47709829619103,2.0
8.11501682198079,15.0,8.572780016127181,6.0
9.378559033129973,11.0,9.43501649905143,23.0
10.187506925390432,6.0,9.565716275162208,8.0
10.040427314631254,6.0,8.129551393306288,3.0
8.3579591369477,12.0,8.023418562728017,12.5
9.041548717529757,2.0,7.906162258899698,3.0
7.987146390943984,6.0,7.433453369079644,9.0
6.645558254779856,23.0,6.8160682989972114,5.0
9.27119508950074,8.0,9.589070135266656,7.5
9.250593556861686,3.0,9.35565101758333,14.5
7.97527317605858,12.5,8.689937274287285,1.0
8.98824058570154,3.0,9.414878962982995,2.0
9.304533128248432,9.0,8.669429238745787,8.0
8.269893067244938,5.0,7.152068627664306,5.5
7.504492993232817,7.5,8.124891631188355,17.0
7.833053427636913,14.5,7.524916399052266,6.0
7.593608953215257,1.0,7.849958001249893,1.0
7.346349843993104,2.0,7.809186819769773,11.0
6.365515764127129,8.0,6.632523016103573,8.5
5.474081305012832,5.5,7.536639774646152,0.0
7.63466216576931,17.0,7.1586792105700825,13.0
8.897904488022471,6.0,6.978100474679507,9.0
7.014407146227756,1.0,8.206627109638328,17.0
6.732252761563465,11.0,6.017669238886025,10.5
6.997219736374787,8.5,6.461750610470027,0.5
7.559749868239183,0.0,7.018023988505817,2.0
5.994991395813382,13.0,5.592580749976084,15.0
6.245870845324454,9.0,7.105654201512254,11.0
8.265486516627535,17.0,7.382251252317147,23.0
9.245043149520699,10.5,6.965223884396708,25.0
7.837714988791798,0.5,8.630572288994166,19.0
7.740331162694872,2.0,7.407825017286164,16.0
6.51474232764112,15.0,6.674836415186205,9.0
8.446473984516208,11.0,7.297311484009403,10.0
9.338635583117616,23.0,7.826037406905503,7.0
9.48630839538501,25.0,9.195808601347586,3.0
12.577177458189206,19.0,12.251888852452511,22.0
14.851655132978204,16.0,11.274097291472735,21.0
13.795462778367797,9.0,12.057190783929338,14.0
13.071935426788244,10.0,11.338020223696416,14.5
13.257937771228365,7.0,11.239306304969192,4.0
11.308171191415639,3.0,10.101686816271489,6.0
10.343052225357946,22.0,9.96116737535316,12.0
10.644238871195471,21.0,11.042694990872441,15.0
11.662664201746944,14.0,14.155355295920986,21.5
13.008041661738476,14.5,14.084117932144189,36.0
13.48843851917791,4.0,14.94526196657074,28.0
13.18019442049029,6.0,13.755035243636918,11.0
12.898455984818783,12.0,11.110779504939169,20.0
11.828439963400198,15.0,11.07882534556831,18.0
12.229052220162004,21.5,11.414600095656803,26.0
12.454579180497127,36.0,11.717073488958627,13.0
16.05719377164286,28.0,14.993431772206108,2.0
18.471935132742328,11.0,16.019364159069593,16.0
16.30580299891812,20.0,15.311784495940353,1.0
17.46697040192421,18.0,15.711186758251506,4.5
19.26015414868625,26.0,15.148282460931972,0.0
19.27604967308892,13.0,15.4021189411664,11.0
16.43602778015838,2.0,15.386564111412392,5.0
14.013920097170107,16.0,14.517871474203181,5.0
13.058275796125267,1.0,14.569225095098163,7.0
11.596050343790358,4.5,14.605882449139926,11.0
10.808894508256648,0.0,14.259475664866182,9.0
8.416595854213709,11.0,14.167264524572238,3.0
11.726527372172706,5.0,14.131235432975844,21.0
10.788995523117089,5.0,11.087771519472833,8.0
8.677617032064285,7.0,10.957113732685793,4.0
7.886846873923379,11.0,10.018024230357604,3.0
9.111973383319249,9.0,9.344916159150975,13.0
9.806748562530927,3.0,8.801645481015443,6.0
8.282498811681592,21.0,6.170220112711558,5.0
9.175289973737042,8.0,8.48280321745794,0.0
8.712736278652232,4.0,6.702936007041605,24.5
8.335788220404636,3.0,6.601216919810219,17.0
5.660808901069463,13.0,5.687653622329084,8.0
7.7283984035260245,6.0,7.370895206077859,4.0
6.985580286333512,5.0,6.587618916484613,9.0
6.68433539036447,0.0,7.030158820069379,7.0
5.450543508991824,24.5,7.133984862979804,5.0
8.730028751839692,17.0,8.03817204213563,6.0
10.50428141089032,8.0,10.217521886948651,34.0
