Predicted1,Real1,Predicted7,Real7
79.27417335233093,72.5,85.0374018607228,73.0
62.893524033397576,53.0,77.01312885146923,62.0
47.65887347722052,49.0,60.203072693475654,44.0
56.060637053790714,48.5,49.015787486463175,40.0
66.99155232075285,43.0,50.28493902407691,38.0
63.287667435865785,53.0,65.19563384577286,42.0
64.63419614163507,73.0,75.82549968541822,55.0
66.27353015224307,62.0,74.75975677039331,71.0
53.32272403010965,44.0,62.19812153319631,65.0
41.95554135847474,40.0,46.409756471633614,48.0
47.075609312658685,38.0,41.438504907870204,51.0
56.07075729840475,42.0,48.66431340043266,47.0
61.66451744588062,55.0,50.055815977405416,61.0
67.26602569238061,71.0,56.054856416778115,73.0
66.6726354303881,65.0,66.33337984633938,87.0
53.399223789353805,48.0,61.99289496173446,83.0
41.980433246224656,51.0,50.09155498506731,70.0
46.40154144316927,47.0,44.44972518172309,59.0
47.86064513549511,61.0,41.66742957957715,54.0
65.55072087273652,73.0,50.47422461664735,51.0
73.84376229918944,87.0,64.28765221816528,86.5
72.63347245900853,83.0,73.95038484711543,98.0
61.979473289615726,70.0,70.63049285268183,85.0
53.71949418691838,59.0,61.118110712036035,66.0
50.69422079416639,54.0,53.58794951241894,62.0
55.88037295438057,51.0,51.75083704459851,55.0
61.94056988330314,86.5,57.152470602910256,58.0
87.06151693503175,98.0,75.33166280583167,78.0
83.5980322640334,85.0,85.24782319285634,109.0
68.24229174357393,66.0,80.59027276246722,105.0
53.715844043325596,62.0,68.47220744251815,93.0
54.741505139161085,55.0,59.10762594319249,104.5
60.95048915215137,58.0,54.9061296058704,104.0
75.56083827726509,78.0,59.23214919107184,100.0
87.50125151815375,109.0,77.75061855050949,106.0
95.96290548190063,105.0,94.784242337627,103.0
81.83044156711479,93.0,91.78163036840647,101.0
72.05446409710129,104.5,79.40586586543334,96.0
78.97118642578675,104.0,75.06310630422362,95.0
86.8446206191938,100.0,74.91885663034454,82.5
98.84091435278212,106.0,83.40480551607808,76.0
105.96886437898961,103.0,96.01750092924628,69.5
94.5339513184211,101.0,104.43447756386422,67.5
88.54581962591742,96.0,102.08190303622452,64.0
85.92412344616714,95.0,95.02715058859935,59.0
86.05611100238639,82.5,91.90191555818912,52.0
81.49273255699528,76.0,87.92618072604927,47.0
85.55431245738869,69.5,87.94154443326322,45.0
85.71531116522158,67.5,89.98642395450814,50.0
82.32956480586277,64.0,86.52535616326612,76.0
79.19650959161332,59.0,81.52995916622267,63.0
76.82711340039508,52.0,79.32436172356718,45.0
69.42778029292224,47.0,74.05521283267211,38.0
66.02193646502731,45.0,67.30831751114526,37.0
65.10291146125918,50.0,63.154911280129056,38.0
68.13192306503689,76.0,61.32140136404575,40.0
81.67991526518752,63.0,67.80079371974013,56.0
68.91713485204033,45.0,65.97772399047632,52.0
54.84816896446892,38.0,59.0604768602316,40.0
47.98653808760074,37.0,50.63674961333728,40.0
48.30492327714547,38.0,46.35295112846299,39.0
53.596726880575545,40.0,44.50792579993305,39.0
56.259713477686,56.0,48.42456293803,40.0
58.532871940454164,52.0,59.289174972116115,70.0
48.1726581850378,40.0,57.36026313775787,68.5
38.32304488869523,40.0,45.784827450401885,58.0
40.33734285775706,39.0,38.25099086334961,46.0
41.37735825072369,39.0,36.148526238234155,38.0
48.48713894141033,40.0,39.07128159657703,38.0
52.64924621840586,70.0,46.31479350576266,50.5
63.67770560281065,68.5,57.266965684719914,75.0
54.15175406525858,58.0,57.035613905187695,61.0
46.25633843781083,46.0,50.4201939537137,43.0
39.581814193227835,38.0,43.6647441735716,40.5
37.08907758584677,38.0,39.90386705739205,38.0
45.003573683315075,50.5,39.54862534624484,36.0
59.77452461537039,75.0,48.313632088333755,41.0
68.67504745375669,61.0,63.2857048298787,100.0
51.27763791329884,43.0,62.734649132576386,89.0
36.55876460474934,40.5,52.844754414989495,70.0
36.612539442311736,38.0,43.10007150886529,55.0
39.36204966786244,36.0,36.80876232606446,40.0
49.256372165495065,41.0,36.8053745444143,43.0
57.75230638192907,100.0,48.76908351126837,36.0
85.48723196786118,89.0,73.16015107560575,70.0
66.2455310224991,70.0,72.71469543210564,59.0
51.88162168512569,55.0,59.76150463915629,42.0
42.32279457376627,40.0,47.77343204572969,37.0
38.15039227843548,43.0,41.35215212786161,42.0
56.478974314417194,36.0,42.84058569888729,34.0
62.18575271808701,70.0,50.94982247154636,47.0
72.51886722392486,59.0,72.27186563650456,74.5
52.11204416980862,42.0,71.52948675117217,63.0
36.20415350516525,37.0,57.8815756918344,48.0
34.731138574203726,42.0,42.818267662928086,41.0
40.28014613799624,34.0,35.61336041022508,42.0
48.45431829905153,47.0,34.88777625149225,41.0
68.18247404321704,74.5,50.103072680244104,43.0
73.56285386898068,63.0,65.70191695239791,73.0
55.75228145648686,48.0,63.55314999767359,66.0
41.71830696705254,41.0,50.40367811386253,49.0
38.58773788506172,42.0,40.61702488863904,39.5
40.87836688015261,41.0,39.39218008386354,36.0
50.34222287055385,43.0,39.00311181618883,40.0
57.37235957461352,73.0,50.17757840346507,40.0
66.54826265446786,66.0,64.5661636283502,74.0
51.53717937692218,49.0,62.02690842169026,66.0
40.768555164580675,39.5,50.6471078629595,50.0
37.19832136699324,36.0,41.261924873778206,39.0
37.68166008934587,40.0,36.81156585377562,45.0
51.29360823707126,40.0,40.55426735143029,50.0
57.13665766481541,74.0,48.62358513596522,61.0
69.60673566402227,66.0,64.02589969894215,69.0
